UniqueCount	AmbigCount
0	6
0	0
19	1111
0	0
0	12
0	6
0	0
0	0
0	0
0	0
0	0
0	0
3	56
0	3
0	2
0	2
0	0
0	24
17	32
4	72
0	25
0	13
64	5
0	5
4	82
0	0
0	0
0	0
0	0
14	1355
2	237
6	366
6	238
75	191
0	0
0	146
0	28
0	33
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
4	5
0	0
5	1
2	118
0	25
0	47
0	48
23	13
0	17
0	25
0	5
0	0
0	0
0	0
0	28
2	170
0	31
0	6
0	1
0	0
0	0
0	0
0	0
0	0
0	12
0	2
0	1
0	3
0	0
0	0
3920	25012
11375	130774
18657	357538
0	0
137	6809
0	0
148881	53892
65	19298
0	0
0	0
0	28
90	785
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	91
0	0
19	0
0	3
0	0
0	5
0	20
0	87
5766	693
0	75
2	84
0	105
0	23
0	22
0	621
0	215
0	171
0	67
0	89
0	0
0	98
20	5
0	11
0	0
27	11
0	0
0	0
0	0
20	1
0	1
5	4
0	2
0	2
0	0
0	0
0	120
0	124
0	125
0	124
0	124
0	124
0	124
0	124
0	124
0	120
0	3
0	0
0	0
0	0
0	0
31	555
206	1595
22	1487
0	0
0	388
7	2
32	84
4	89
4	19
2	25
31	1
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
70	0
1	3
0	3
21	2
0	2
0	661
0	502
429	661
0	0
0	0
44	2609
8	2805
4	0
0	13
3	152
10	111
0	4
1	41
0	264
585	1142
0	43
12	62
0	4
0	62
0	0
0	37
0	35
0	0
0	0
0	146
5	135
0	156
0	157
26	126
1	154
0	144
0	15
0	95
0	48
0	36
0	41
0	13
0	6
0	8
0	7
0	1
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
1	19
0	9
0	16
0	4
2	4
0	1
19	1079
0	784
0	947
144	683
4	559
15	279
1	124
353	0
0	0
0	0
0	0
0	0
0	0
9	0
7	2646
0	2880
19	2570
29	1410
0	1280
0	1199
5	1145
28	255
0	1211
0	738
0	169
0	275
0	369
0	234
0	119
0	1
0	33
0	33
0	103
7	0
0	0
20	0
2	320
0	259
27	302
1	308
0	13
5	274
0	1
3	55
46	2941
135	2861
33	1473
0	1792
12	11
0	155
13	399
12	20
55	691
0	371
74	167
0	212
0	0
0	0
19	130
3	37
2	5
0	82
4	52
6	1061
0	1343
0	1345
1	1112
0	646
0	1391
0	268
0	1219
0	1115
200	959
1	610
6	973
0	1337
4	1112
1	965
0	1101
0	1213
0	354
1	176
6	87
0	830
0	192
0	309
0	354
1	211
0	236
0	342
0	51
0	131
0	352
6	185
0	201
0	256
0	214
0	212
2	59
18	22
0	122
0	219
0	167
14	96
1	76
0	120
0	35
0	34
0	38
0	49
0	4
0	0
0	0
0	0
15	0
6	27
66	50
0	27
10	0
0	1952
18	1963
0	1132
3	376
0	403
5	190
0	142
5	115
0	0
0	162
3	181
0	182
10	107
4	182
0	51
1	48
5	65
0	0
0	0
1	790
34	787
3	786
13	787
6	13
0	2
0	0
86	648
29	681
33	486
41	804
3	1012
4	651
0	555
1	792
0	661
0	334
0	471
3	135
1	113
0	112
0	98
0	332
4	14
0	79
0	1
0	30
0	93
6	327
4	365
0	18
0	11
0	335
21	358
0	139
235	661
1	394
27	502
25	2
1	267
0	50
0	0
30	0
11	286
0	288
0	287
0	66
6	21
0	0
0	0
0	0
0	0
0	0
0	0
34	29
6	113
124	142
0	5
66	25
0	1
0	3
10	287
61	270
0	34
60	172
22	90
10	315
0	294
0	318
0	318
0	0
1	47
0	26
47	900
0	900
33	4
286	2202
19	1648
0	554
461	177
20	0
0	0
239	0
607	0
1	491
0	547
0	434
0	547
30	531
2	508
0	481
14	27
1	51
2	527
8	16
0	412
0	26
1	3
0	78
0	539
0	382
0	44
0	465
1	427
3	27
4	25
3	417
0	91
2	15
5	23
2	42
0	112
0	169
2	39
0	18
7	18
0	6
0	0
0	3
0	4
0	3
0	1
0	1
0	1
0	1
0	2
134	1307
0	1201
0	1010
3	1227
0	1105
0	1033
0	1033
0	1033
0	199
0	33
3	555
0	3182
1	3130
9	1251
15	527
13	9
0	4
0	4
0	813
2	162
0	680
1	772
0	509
0	796
0	627
0	755
0	791
0	685
14	46
0	116
0	29
0	6
0	123
0	13
0	18
2	68
6	116
5	43
0	9
0	3
1	0
88	661
0	0
205	219
0	0
0	10
10	539
14	67
8	514
3	1198
10	1174
0	1063
0	559
0	0
0	223
0	116
0	46
8	200
0	44
1	37
0	148
2	166
0	118
2	118
0	66
0	0
93	21426
1	19723
261	22327
10	2618
0	5560
9	2184
2	3508
0	1537
0	16
6	542
12	0
2	7
0	7
15	4
0	3
0	8
1	8
0	0
0	5
0	0
0	0
35	140
1	35
0	39
0	2
60	107
0	102
1	24
10	19
0	5
106	0
12	1210
0	674
0	699
0	805
2	1050
20	789
0	162
8	887
16	864
1	781
10	0
11	1169
1	429
0	195
14	722
0	328
0	455
0	159
14	665
0	0
0	0
4	17758
0	959
0	0
0	5
0	5
0	1
2838	17956
0	978
168	16698
17	1892
8	3160
0	2162
0	3052
0	2241
0	3066
0	3556
0	2566
0	1473
0	867
0	2038
35	229
472	15765
0	2754
0	11607
12	10630
0	1008
11	0
9	0
39	0
1	2141
2	2141
2	2176
0	2177
0	298
57	71
0	31
0	62
0	63
13	63
1	57
0	20
0	79
0	0
0	0
0	0
1073	11
0	0
0	8
4	3
5	66
6	52
1	64
0	6
10	17
4	15
18	21
0	22
26	2
0	1
0	2
4	0
118	0
0	0
141	0
0	1702
0	102
0	1917
6	242
0	4
20	665
1	213
74	335
1	106
5	1383
1	957
1	877
0	126
0	47
0	13
0	10
0	4
0	10
37	980
0	957
1	956
9	969
0	777
14	325
10	318
0	0
2	0
26	1014
1	864
0	576
4	101
6	69
0	11
4	3
0	128
0	264
0	44
0	0
0	11
28	0
32	0
0	6
0	1
44	51
0	1
4	19
0	17
0	36
0	53
1	59
0	53
1	55
0	218
0	169
9	65
0	67
1	40
61	174
0	209
0	14
8	96
0	0
7	34
0	4
0	0
0	263
0	226
4	1341
0	1296
0	1449
1	1306
2	294
0	1393
0	356
0	75
0	58
0	108
4	1324
0	53
7	1246
0	71
0	66
0	3
0	3
0	0
0	0
0	1
0	0
0	0
0	1
29	6
0	5
0	0
0	0
0	0
0	0
153	363
1	148
0	10
12	315
33	442
0	0
0	9
46	59
0	176
0	9
0	234
0	168
162	247
0	157
0	0
0	168
0	25
0	0
0	0
0	0
0	0
0	0
10	59
0	59
0	58
0	11
0	5
0	10
8	46
0	0
0	38
8	44
0	3
0	36
0	1
0	3
0	1
0	0
7	0
631	3582
23	3582
25	291
21	291
92	19
0	139
0	74
0	26
0	10
0	136
0	86
0	21
0	41
0	37
0	9
0	37
0	38
0	7
0	8
0	9
0	9
0	41
0	7
0	0
0	11
0	4
0	0
0	0
0	56
1	386
158	510
0	14
1	322
6	261
2	42
0	89
0	33
0	9
0	0
0	6
0	0
0	0
0	0
0	0
0	0
1363	228
16	228
0	31
0	0
14	0
552	417
0	14
6	68
0	62
0	32
0	46
0	270
0	19
0	58
0	16
0	83
0	13
0	177
0	182
1	171
5	170
0	170
3	172
2	169
0	170
0	8
0	6
5	28
0	506
21	508
46	467
0	0
0	0
0	0
0	5
41	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	97
1137	97
0	1
0	0
0	0
0	0
13	0
0	0
0	0
0	0
10	137
20	142
12	283
6	300
7	317
0	249
0	4
0	2
10	9
0	188
0	17
0	876
758	10258
0	1
1	2805
0	505
9	75
0	9347
0	9970
0	2188
0	1720
44	3032
0	72
0	9906
0	0
4	295
53	8752
1	3726
0	1
12	1236
2460	5587
0	321
0	3572
8	2207
0	4316
0	201
0	144
2047	915
44	912
84	1170
245	700
14	519
0	423
6	467
0	0
8	4
0	4
59	264
4	12
49	253
0	0
0	0
0	24
3	21
673	599
0	16
4	583
0	234
0	0
0	0
0	0
269	0
6	3769
0	3615
0	3611
34	3611
0	3070
2	3069
0	3772
0	3772
0	2188
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	0
0	14
0	0
0	0
0	764
102	842
0	533
12	529
0	426
0	444
1	297
1	247
0	103
0	210
0	112
0	83
0	167
8	239
4	7
0	126
0	74
0	64
1	84
0	7
11	1291
2	1406
0	1405
0	1410
8	1428
0	1436
11	743
2	1181
0	1245
12	1269
8	1269
2	1028
0	0
551	54
0	51
0	28
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
1	63
2	59
3	183
1	49
71	118
27	66
0	59
2	24
0	6239
45	5955
0	1070
1	374
0	934
0	389
303	21
0	21
114	361
0	0
2	279
47	532
0	178
0	168
1	151
0	22
59	729
0	349
53	1122
0	701
0	113
0	146
0	136
0	31
1	117
0	71
0	34
0	0
0	0
0	0
0	0
0	0
0	0
1328	1079
3	111
0	58
4	229
42	93
0	90
0	89
0	54
0	17
0	23
0	14
0	37
0	2
12	943
0	492
0	150
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
8	0
0	0
1052	211
36	211
0	15
7	0
2	232
0	1324
0	1271
0	1324
12	1247
0	4
3	1
0	10
0	44
5	6
0	138
0	0
0	0
0	0
0	0
0	0
0	0
0	0
42	2787
8	279
439	4336
95	4127
14	2386
0	1307
8	3942
0	3150
0	1047
12	1856
0	0
0	21
408	264
12	216
0	140
0	100
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	194
0	194
1	133
0	27
0	0
9	3988
123	3972
1	76
0	1432
0	2237
1	2209
0	118
0	83
0	320
0	12
0	4
0	4
0	201
0	207
0	7
0	7
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
154	16725
83	13944
0	4046
0	1051
30	915
10	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
159	41
0	4
39	37
0	36
0	36
0	36
0	36
0	33
0	23
0	4
0	0
29	1
0	0
0	1
99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
265	351
0	341
0	154
94	75
0	44
0	75
0	65
0	0
0	0
757	112
0	0
186	61
2	114
2	89
0	0
0	3
0	555
0	565
13	535
0	0
0	294
0	305
0	6
0	11
